jwat	jwlt	kqat	jdah
wulam	wmlam	wulsn	fhlam
aita	aitc	aoya	auta
obwoya	obwpya	obdoyz	obwpyq
niaa	niaay	niss	niaq
wunu	wonu	wunt	eunk
kotini	kctini	kotink	nktini
ringoki	ringozi	ringpki	rijgoko
wanyerro	wanyerro	wdnyrrro	wanyergo
obebino	obwbino	lbsbini	ibrbino
nyim	nyimg	nyim	jykm
lamulu	lamului	lwmili	lanumi
wicce	wicte	aicxe	eiccf
aecitto	aecztto	afclttl	aefutto
wuŋuti	wsŋuti	qyŋuyi	whŋufo
gigonno	gikonno	gigonmo	gigonuo
dyelle	dyellea	dydloe	dyellr
wabedo	wabedom	wabedi	wsbwdo
nyubba	nyubbp	njjfba	vyubba
giwora	giworp	gieora	vieoda
reu	seu	rei	tey
wabiporo	wabsporo	wwbkooro	wsbikkro
paco-gu	pacoigu	kack-gk	pxxo-bu
okwere	kkwere	okwers	lkeere
laumme	taumme	labmme	kauome
catto	cotto	cahtp	cafeo
kene	kenep	lebe	nrne
wubeddo	wubgddo	wjheddp	sufsddo
gicaŋo-ni	iicaŋo-ni	gicaŋo-ni	gidaŋo-bu
ludote	lhdote	mudihe	oudkte
oywec	oyweq	oyssc	otwfs
alene	ylene	aieje	aldnr
wugeŋe	wogeŋe	eygeŋs	sugeŋr
abanya	abdnya	snanya	xfanya
onoŋ	anoŋ	lboŋ	ojoŋ
mi	my	mi	mi
yeŋŋe	yaŋŋe	yeŋŋe	yeŋŋe
coo	cot	foo	cki
mul	sul	myl	mkl
gukato	gukaoo	rukxro	guoato
akic	akics	skid	zkid
wuwir	wuwer	wuwir	wuqie
acwii	apwii	aceiu	qcwil
muŋolle	mzŋolle	muŋoilw	nuŋllme
olwi	olpi	olqk	powi
okummo	okpmmo	pjuhmo	okhmmo
ingwinye	ingkinye	unfwknye	lngwkmye
lunyodone	lunyodonb	lunyidofe	lunjldonr
gebbe	mebbe	gdgbe	gdbne
danno	dtnno	dxnmo	dangi
igammo	igummo	igaimo	igahmo
okonggo	okonggod	okpngbi	lkonggo
ilego	ilegof	ioeyo	olerl
jwinya	jwiqya	jqknyw	jwkjyz
wamedo	wamedor	wwmrdp	sajedl
luroro	lugoro	lirori	lutorl
calla	dalla	saloa	twlla
giyero	giyeyo	giycrp	glysfo
yerre	yerree	gerre	ysede
gicul	gicxl	bicyl	gisuk
gijallo	gijahlo	gljakpo	bljallo
giŋeya	gixeya	tiŋwya	hiŋfyq
ojig	hjig	kjin	omug
dini	dwni	dink	duni
gigonye	gygonye	gihinyf	glnonje
gibiworo	gibiworoz	tibiqorp	gibiaoro
miyi	mihi	miyp	migo
larwa	harwa	iarsa	lxeda
lacwec	lacwlc	kzcwex	lacsec
opiro	opiroq	opidp	oplfk
raccu	rafcu	rqcxu	rawch
gupuk	gupun	gupkk	bupuk
lalee	ladee	lqlfe	malww
gucubbe	uucubbe	gkcybbf	mucubge
orac	brac	ofxc	lrac
pittongi	phttongi	pittlnbi	pitglngi
gonye	golye	gonjf	glnje
pato	eato	kwto	pato
bene-ni	lene-ni	beje-nk	fwne-nj
gibicitto	cibicitto	fobicutto	gibocotho
omokko	umokko	omikkj	ohikkk
kwarowu	kwadowu	osarowh	kwxriqu
pang	panu	lanf	pamg
atii	aaii	atiy	atli
onyubbo	onylbbo	ingunbo	omgybbo
tyekke	tyckke	tueoke	tjemke
yocwa	yocww	gicwa	yocwq
koma	komb	lomx	kpmw
gamaliel	gamalielp	gzmziiel	gwmaoiel
coŋwu	coŋwr	clŋsu	coŋwi
megigi	pegigi	mefidi	kehigi
abigwoki	abigwokt	wnkgwoki	abibwoku
lwite	lwitet	lwiyf	oqitr
yaarro	yaarre	yawteo	ywagro
gulamme	gumamme	gupdmme	gulxhme
nyunyo	nyunyc	ngjhyo	gyunho
giyakkoni	xiyakkoni	giyaukoju	yiyakkoni
bendera	bendwra	bsndara	bdnddra
lien	jien	lieh	lkwn
labolo	labolg	lagpmo	lanklo
cunno	runno	cukno	cinfo
yerogi	yerogii	tsroni	yrrovi
gunyaa	gunwaa	ghhuaa	gunuax
emmanuel	emmanuhl	emhanudo	enmahuel
gibituc	gibdtuc	ginltuv	gibjgkc
jiri-jiri	jiri-jiqi	jjri-jifo	jiri-njrj
arokile	arokyle	arukile	aroklle
lirubuku	lirubukd	lirubjku	lirubuhy
gigeyi	gigeyit	gifeyy	gigerk
ryeny	ryenv	rtenu	ryenj
okonya	okonsa	okohuz	ikonys
kunnu]	kunnun	kynjy]	junnu]
lalukana	lalukina	oslukanx	lslukagw
gitonggo	gitonwgo	hihontgo	gotkmggo
agwen	ngwen	xgwem	arven
kwarpiny	kwarminy	jwsrpjny	kwqtpkny
arukka	aruaka	aeukka	arukos
iyeya	ileya	lyeyw	uyeux
totte	tltte	totte	totfs
oŋalo	zŋalo	oŋslo	oŋwjo
wicca	wiccah	dicfa	wiccx
giridde	giaidde	gjfiddr	gididdt
yella	mella	nella	yfolx
dayangigi	dayyngigi	dwywngigj	dahangibo
ocoo	ocool	osop	pcoo
yobbo	yombo	yohbk	ylbbp
ogonyo	ogknyo	ogonjp	ogknjo
tenne	tende	fennf	yejhe
gicate	gicatl	ticard	fofate
giyweyog	biyweyog	giywetph	niyweyog
agurra	agurram	sgutda	agurdx
otonngoo	otofngoo	itojggoo	ktpnngko
yooni	jooni	tkoni	yooni
dyeggi	dyelgi	ayergi	duegtl
karama	karamav	jaramq	karxma
pyen	pyhn	ptfn	lydn
katac	katag	katac	matav
ywiine	ywirne	yailnf	yaijje
baibul	bsibul	bwkbuk	nwibul
ngwe	ngye	ngwx	bgwe
wubiyo	wubijo	qubkyo	wuniko
kwal	koal	kral	owxl
yil	yily	gil	fil
onenno	onenno	knrjno	ogemnk
oŋulo	oŋvlo	oŋulo	oŋklo
makowa	makowa	nankwa	kakksa
ikin	mkin	inun	ikij
aradda	araddal	arqcda	aradda
tide	twde	glde	tice
loyone	lcyone	lotine	loymns
pimmo	pijmo	pikmp	kimmo
yeŋ	yeŋl	ywŋ	ufŋ
oteg	otegg	odeg	pteg
otitc	otitcq	otirv	otitc
gwiny	gwcny	gwiny	gslnj
giyeto	giyetod	giyeti	boyetl
bipokowa	bifokowa	biolnowa	bilpkoaa
arum	arem	sfum	arhh
rabboni	rabbozi	dzbbonl	tabnogi
lapet	laiet	lqpeh	oapet
anyenna	anyenba	angenjq	anyenga
mwok	mhok	kqok	mwol
guwer	guwur	gjwfr	ghaer
oyubowa	oyurowa	oyufoew	ouuboes
wumi	wvmi	quki	euki
ryebbo	ryebbx	ryegfo	ryebno
bor	bjr	bod	hor
gutiyo-ni	gutiyo-ci	bitiho-ni	rutlyo-ji
ŋono	ŋsno	ŋoho	ŋogo
gurug	gurzg	gjgug	gurhe
uno	unok	jno	unl
inywalo	inywalom	unjwali	unywako
cwakko	cwagko	ceakko	cwakok
miye	tiye	muyf	miyf
dinnone	dinnonz	eonmone	dibgond
leba	lebi	ldbx	lebs
doigo	doigv	doivl	diibp
neki	nebi	ndkl	jfki
gakko	gakkoj	gakui	tauko
obirro	ebirro	obidtl	jbirro
gulweny	gulwenl	vjlwfny	gilwvny
guyenye	gfyenye	giyemys	guyengz
obaro	tbaro	lbari	kbaeo
dinine-nu	diniwe-nu	dinynr-nu	sijone-nu
kwde	kude	kqxe	kwdr
gucitto	cucitto	gycuttp	guclttl
nyerro	nyerrq	nterro	nysrro
opiina	oprina	okiiga	ipkina
abicobone	abicoyone	abjcpbome	abixiboge
oluurro	oyuurro	lluugrp	pluhrro
matinone	maminone	mahinpje	mxtigkne
media	mrdia	meduz	mgdia
wacir	wacirq	wqcif	aaxur
opwacco	optacco	opeacco	ppwwcxo
awacce	awacces	qaacxe	awadcr
amako	amawo	xmakk	ajaki
tura-gu	tura-lu	tuta-nj	tyta-gj
gilimmo	oilimmo	gilomml	fiklmmo
akel	akelq	qkem	aifl
yenynyone	yenynyoce	jenyjyobe	yenyntonr
gilwoŋowu	gilwoŋbwu	vipwoŋoqu	gllwlŋowu
batijawu	bafijawu	bztimawu	batijaqu
labonggo	lybonggo	mzbonggo	laningyo
akwota	akwwta	skwota	aldofa
waraga	waragx	warafd	aafafa
agwee	agweef	agwfr	afwwe
lakerre	lakegre	lsketrs	kakerrd
ojiri	ojirn	okori	ojjrk
ikelgi	ikelai	ikdlgj	iidlgi
bwot	bwoj	bwpg	bslt
lim-mi	lim-xi	lim-mi	lkm-mk
onobbe	onotbe	inohfe	ihobbf
lab	labo	mab	izb
gubino	gubinov	gyblmo	guvijo
wubibedo	wubibhdo	wyhibexo	dugibedi
orwatte	orwayte	prwatte	lrwaftr
neewu	neebu	ueewu	nereu
luyudaya	lhyudaya	luyudsya	lijudaga
inyed	inyedt	inyde	inyrr
camwa	damwa	cqmda	dsmwa
ladobo	latobo	iadojo	lxdobo
kumenayo	kumenaxo	kumegzjo	kkmrnayo
ala	hla	alq	ala
acako	acakod	zcakk	adzno
ciŋa-ni	qiŋa-ni	akŋa-ni	siŋw-bi
tertulo	teruulo	yeryulk	tertikp
konynyo	konytyo	ginynyo	klbynyo
dyangine	dzangine	dyangihe	dyxnrine
kitte	kbtte	jittd	kitrw
calamic	calamkc	czlajic	cwlahif
camaria	camariay	vamaria	camxrua
Ŋene	Ŋene	Ŋwne	Ŋrne
biyubbone	byyubbone	biyubgkne	biyubbpnw
nyiggi	fyiggi	nyidri	nyuggl
yuggo	yuqgo	yygbo	yjngk
wacako	wlcako	eacaop	wqcaoo
miri-miri	miri-mirg	jkri-mirk	mirk-mirl
yero	uero	heri	tfro
akeca	akaca	skecs	qleca
ngallo	niallo	ggamlp	nvwllo
lamagdala	wamagdala	iamqgdxla	mahagdqla
jemmo	jemqo	uekmo	ismno
gicakko	gicakxo	gjcakpo	gicwkol
ouya	ouyaf	puyz	okyq
aŋwenne	iŋwenne	aŋsenje	xŋwegne
otuci	ctuci	otuci	ktici
pangge	pangge	psnggf	oxnrge
labwoc	labwocy	mxbsoc	mabwov
ngullo	ogullo	bbumlo	hguulo
winynyo	wznynyo	wuntbyo	wlnunyl
guyaarro	guraarro	guyqzfro	guyaadrl
cele	celeg	cslw	crie
porro	pouro	ooero	pprrk
gibikwanwu	gibikwanwuv	gihikwamsu	biblkwanwi
paska	pasca	kxska	psskw
tunga	tuuga	tuggz	hybga
lewicce	lewicee	lesifcf	ledicse
wumato	wupato	wymsto	wyjqto
latim	lotim	lahik	matik
gukanne	gukaqne	guhanne	gukamne
corn	covn	dogn	vodn
rwenyno	rwenylo	fwemyho	rwehynk
mecce	macce	mfccd	hecce
poko	uoko	loko	pokp
toppo	typpo	gopko	toppu
lonya	lonja	ppnya	pobya
belial	nelial	bdllql	bwliwo
lumemba	lumembau	lumanba	lunembs
jonyo	jonxo	honyk	monyo
magac	magsc	kagzc	magas
aranynyi	arapynyi	xrangnyi	arayynyk
gicikogi	gicikoki	glcukigi	riciuogi
otwegge	otweyge	ofawgge	kreegge
yecci	yhcci	yefdi	ysffi
latit	latitf	layiy	magkt
ginen	grnen	gjnej	gibdn
luparti	lupaiti	lupwdyi	lupzrti
onywalowa	onywalowae	imywxlowa	lntwaloaa
cek	cekb	dek	csk
abimato	abimaso	ablnati	afimato
wol	pol	aol	wom
wukonygi	wukrnygi	wujontti	wukohygi
lukur-piny	lukur-phny	iuiur-piby	lukur-kiny
cementi	cemenbi	cemrgfi	cemwjgi
gipenynyo	gipenycyo	nipenunuo	gupenynyl
kelo	kewo	keio	ksio
gudobe	audobe	rudoge	gudobw
oonynyoni	oonynyohi	oogymyomi	oobymuoni
gikwa	fikwa	giosa	cikwq
wakato	wakatop	wxoato	walsto
gukonye	gugonye	yujonye	gukphje
abok	aboi	xboi	abpk
gibwot	gibwyt	vjbsot	ribwkt
ologo	elogo	oiofo	olpgo
olarro	olirro	oiafro	piwrro
rucce	nucce	fhcce	ruvcd
bad	bal	bav	dad
laden	luden	lwven	oadsn
awobi-nu	azobi-nu	adobl-nu	awphi-nk
illogi	illsgi	ilkogo	ilplgk
olokke	oookke	liokme	olkkuf
gijuki	gijukik	gijuuu	gimkki
aketo	aketo	wketo	aksrk
opwonnye	opwonnym	opwojnhd	ipwonnyr
wiwu	wiwua	sowu	wuwu
gibilibogi	gikilibogi	yibilihogl	gibiilbobi
geerro	keerro	gwefrl	geeddi
geene	oeene	geejs	rewns
mkido	mkidd	mujdo	hkico
gibiŋeya	gibieeya	gibjŋwyx	flbkŋeya
opuune	opuuna	opuihd	kpukne
yuto	yuao	yjtk	yutl
eliakim	kliakim	emiamij	elianin
inyomo	ijyomo	inhomo	knhoml
yotkom	yotkem	yotkok	yltkok
olyet	olyed	oltey	plywy
wubicuŋ	wubiauŋ	eubicjŋ	wkbjchŋ
waweko	wawekoa	wasdlo	waweil
dot	dotd	sot	dpt
myeno	wyeno	myrbo	nyqno
gucobo	gucoko	gjsoho	fudobo
watit	watit	wqtih	wahkg
olokka	olonka	olojna	olijka
tanynye	tanynyk	tsnygge	txnymue
ger	gerr	gef	her
let	xet	pet	pdt
wudoŋ	wldoŋ	wjdoŋ	suclŋ
awobene	awobeie	aaobehw	awobwue
ategga	ateggan	ztetta	qtebga
cwee	twee	dwse	wwee
roya	royl	doga	rpya
mulo-mulo	mjlo-mulo	nulo-juli	muoo-muko
gworo	gwobo	gwoep	gworo
onekke	oyekke	obekke	ombkke
akwoo	atwoo	akwoo	skwop
lapur-poto	lapur-foto	lapur-pktk	japur-ooto
ginekkoni	ginekkopi	gihwokoni	hinemkkni
lakko	xakko	malko	pzkki
lagwokwa	lagwckwa	pagwlkwz	lsgwoksa
gwica	kwica	gwucs	gsica
gilayo	gilayn	fjlayo	nilayl
kamo	kamr	kxml	oami
gibarro	giuarro	ginarrj	gobafro
okaye	ocaye	okxyd	okays
anyubba	anyubbl	angubba	anyuffa
gunekke	dunekke	gunwyke	gunwkkf
ajwanna	ajwanca	xjcanna	ajaannx
otiyo	otiyow	otuyp	origl
mejagi	mejagid	meiagi	kfjagi
dyak	dymk	cyak	wyak
dano-ni	dano-ni	fanl-ni	vxno-ni
ocakko	pcakko	lczuko	oczulo
cayi	cdyi	csyj	xayl
gibiŋolo	hibiŋolo	gibiŋklk	gifiŋoko
ibutto	ibutio	ubhtro	ibutfp
luŋ	kuŋ	ouŋ	liŋ
gujemmo	gujymmo	gkjekml	fukemmo
gamani	gamanb	gamanu	gqmqni
luyet	luyet	lytet	luywt
wubicakko	wubicakkoy	wubicskio	wubjxanko
laibari	laibarz	mdibari	laibaek
nyakono	nyayono	nyakoni	nuakino
amaka	amakak	ahakw	wmaia
guliŋ	gulmŋ	gjliŋ	gnliŋ
mukekeka	mukeknka	nukeksks	mukeksia
kacokkegi	kacokkeai	macoklegl	kacokjegj
gukumo	gukumob	gukino	yukjmo
gweŋ	gieŋ	gqeŋ	rweŋ
parwu	parwuo	oardu	psrwo
mutittiwa	mutittawa	mutitgida	mitittlwa
gin-kok	gic-kok	gin-klk	gyn-kok
nyare	nyarz	uyare	jyage
lagwee	lagaee	oaywee	lqgwse
nakor	nazor	gqkor	nauog
iwacci	iwacciu	kwatci	iwacwi
lulok-cente	lulok-centea	lulko-cenhe	lulpj-xente
ited	itee	itdx	ited
gutimmo	uutimmo	ghtimki	nhtimno
lwoŋa	gwoŋa	nwoŋa	lwlŋa
cikkegi	cbkkegi	cimkfgu	cikksgo
aryo-nu	aryr-nu	afyo-ni	atyp-nu
decemba	decemua	xwcdmba	sesemba
luroma	lvroma	luromx	pugoka
wubinena	oubinena	wubinsnq	wubindha
gidero	gideroa	rivdro	gidwro
acurre	acxrre	axjtre	acutre
inyog	tnyog	lnyob	injkg
larop	lwrop	lqrlp	karol
dwanwa	dwanww	fwsnea	xwanwa
onenogi	onenwgi	ljenogu	ondnoni
lunyadone	lunwadone	lubjsdone	ihnyadkne
wujiŋ	wujiŋi	wkjiŋ	ekjiŋ
yela-ni	yela-ci	yehq-ni	yflz-nu
gugudo	gugubo	gktudl	ggyudo
girubo	girubn	nifybo	bitubk
tula	tulak	gila	tuoa
omat	omay	kmah	omar
gupwonyo	gugwonyo	gukwonym	gupwojtk
ataa	atba	stax	afaw
gulu	guluv	bulk	guku
dwoyo	dwjyo	dwoyo	fwoyo
wucaŋ	wuckŋ	aucaŋ	wuxxŋ
bidoko	bvdoko	bidkmk	bicokk
cbwoo	cbweo	cvwlo	dnwlo
tera	tlra	ffra	hrra
gen	genh	geb	gen
murukuba	durukuba	mhgumuba	mirukuga
gicoyo	giczyo	gucoyk	gjcoho
alwoŋowu	alwoŋrwu	wlaoŋoqu	zmwpŋowu
guniangge	gunzangge	vubiangne	funuangge
bipoŋ	bipoŋo	bppoŋ	vipoŋ
odec	odej	oddc	odwf
ob	obv	ob	ob
kut	kuc	kug	kur
smear	nmear	smeqr	znrar
wukekko	mukekko	wuleuuo	wukrkli
lammo	lnmmo	lwmmp	majmo
pero	perl	perl	oerp
giromo	girovo	gjdpmo	gironi
otungi	otungib	khungi	ituggi
komker-ri	kofker-ri	kknker-ri	oomjer-ri
giliba	gilibat	tiljba	giiiba
okol	ojol	kkol	okom
melo	mela	mekk	melk
oputto	okutto	ouutgo	oouttk
guoyo	guozo	yuoto	guouk
karewa	kauewa	katrsa	mareda
uu	uup	uu	uu
okella	okecla	lkrola	okgllw
kwe	kde	kws	kde
otim	otom	ogim	ogij
gukwalo	lukwalo	gkmwamo	gukdaii
mamiŋ	mammŋ	mamkŋ	mahjŋ
inyuttiwa	inyfttiwa	knyuytjwa	lnyuttiwa
amal	mmal	amsl	smql
iweko	iwexo	oweio	nwekk
buta	butaj	futs	bjra
walegge	waleggm	wwoefge	aaleggd
ajuc	ajut	ajkf	xjjc
lewic	lewicg	lawic	lewix
cuk-gu	cek-gu	vyk-yu	suk-ny
rwac	rwat	rwas	ewac
ein	einh	sin	cin
gunyerro	gunyerroo	guggerfo	gyjyerrk
watoyu	wjtoyu	wztkuu	wwgkyu
ibeddo	ireddo	ibrfdp	ibewco
cikwa-ni	cikwa-fi	cikaz-no	cinwa-no
wumwonyo	wumwodyo	wumwogyp	aumwojyo
bekko	bxkko	bekkk	brklk
gwana	gnana	tsana	gaabz
gwennyo	gaennyo	gwfnnjo	nwennyo
toko	toko	tkjo	toki
gurito	gubito	guriyo	turkti
cwer	uwer	xqer	cwef
jangge	jangge	jxnhre	nanfge
okeng	nkeng	kkdng	okahg
wulwoŋ	kulwoŋ	sjldoŋ	qulwoŋ
pwonno	pqonno	lwonno	kaonnk
byello	qyello	tyelpo	bysllp
guotte	cuotte	gyktre	fhotte
alar	plar	alae	slar
wujona	wujonz	wutlna	wuuona
matte	matge	jqtte	gatte
omiwu	omiwuk	omlsu	kmjwu
ogem	olem	obej	ogeh
eworo	eworoo	fwork	wqoto
jubu	jubud	uunu	jubu
arwaa	arwma	avwaa	ardaz
levi	leii	lfgi	ldgi
iyenyo	iyeeyo	kyenyo	iyfyyo
aluma	amuma	aokma	alika
muromo	muromog	mueomm	mieomo
woora	foora	wootz	qpors
nyima	nyimd	gyina	ngikx
abor-gu	abod-gu	wble-gu	abkr-gu
guyere	guyele	ghysee	fuyerq
gigunnoni	gigunnony	gufunnonk	gigugnobo
gumeer	gumekr	tuhwer	gumsrr
kucwu	kmcwu	juxwu	kudei
kingereja	kingereje	kibvereja	kinvefejq
wakano	wakayo	wzkabp	dajano
laboŋo	saboŋo	oablŋo	lahiŋl
onynyone	onynyoje	onymyihe	onybyond
acipirin	tcipirin	zcipirhn	xcipirim
lunek	luneb	lyhek	lunen
dek	aek	drk	dck
wuyeŋ	wuyoŋ	wuysŋ	wyyfŋ
nyik	ncik	nhio	muik
dakone	dakoneu	dakomc	raklne
opii	omii	opou	opij
dakoni	dakonl	dwkohi	vqkpni
leave	leave	leqvf	ieage
cukke	aukke	cukke	cukkf
ononggo	ononggof	kjonggo	inonghp
gubed	gubeda	bibed	fubdw
yoanan	yoenan	tisnan	ylanan
[	f	[	[
twee	twke	heee	twws
terru	ferru	tettu	gefdu
oryaŋŋe	ozyaŋŋe	oryzŋŋr	kdyaŋŋe
lakalatwene	lakalatwese	makalatwrnd	lzkalwtwenf
wutiŋ	lutiŋ	wuriŋ	eutiŋ
papal	papap	papwo	kalai
birommi	birommig	niroumi	bkfommi
lagoga	lagogc	oagofw	lagira
gurwako	gurwqko	yurwaho	vkrwako
bitelowu	botelowu	viteliwh	bifrlowi
obokke	obokkej	lbpkkd	obolue
luco	leco	pyco	mucp
bicerowa	bicerofa	ficerkda	bicerpwa
gulocco	guvocco	yilkcco	gjioccl
lyakko	ryakko	kyziko	lyakml
gibolowu	gibooowu	gibomoqi	glbploau
ityekko	ityekkog	ihhekmo	ityeyuo
ariggo	arqggo	avigno	wrirgo
gikane	gikune	gikdnw	vijane
tekwaro	tekwaroo	tfmwato	tekwsro
giyelle	giyexle	gigelld	glyempe
wumarre	gumarre	wumsrrs	wkjarde
lakodi	lakodi	lauodk	kqkodk
komeni	komzni	jomwnk	iomeny
jiga	higa	jigc	kuga
iŋun	iwun	iŋun	iŋkn
lawotti	lasotti	lssptti	lxwptto
agoli	agola	agoll	qgoll
ilwoko	ilwouo	llaoko	lkwoko
tuko	tugo	tykl	ruko
tad	tadz	tas	twd
gukwer	gukwcr	yunwsr	gukerd
odeba	odebat	ldsba	keeba
tanynyo	tanynyoa	fanybyk	tahjnho
mapera	maperad	nxpdra	mapera
dwee	dwet	xeee	dwee
awinynyoni	awinynypni	zwinyngohi	awingmyomi
gutoo	gutno	guhio	turoo
korwu	korsu	koeau	kotdi
gwinygi	gwinybi	gwijhti	gwobygj
london	lgndon	okndon	lonsob
gimakkongi	gimabkongi	gimqkjohgi	rimxkkongo
nek	nen	nem	ndk
galatia	galaoia	gslwtiq	raiatka
ceko	ctko	deuo	xeno
gwenynyo	uwenynyo	gwejybyk	fwfnynyo
gudyero	guduero	fudusro	gusjerp
watwu	wwtwu	warqu	wegwu
dagi	dagt	dwni	dabi
imaro	imazo	imdro	jmawo
alalka	alplka	alaioa	alzlla
outto	outte	oytro	uutto
gulyello	gulyeulo	nulyfklo	guiyeplk
lubanga	libanga	libaggw	lubamfa
lakwelle	lakwellec	kakselpe	lqkwelpe
teneci	tenaci	twbrci	femeci
ipenya	ipenyaz	opdhya	ioenya
byene	bhene	btenf	nyene
bai	bki	bau	vau
pii-nu	piirnu	pyi-gu	kli-nu
opee	oiee	ipes	oper
lummi	lwmmi	lhjmi	okmmi
miyowa	miyoka	mnyowx	mkyowa
wacca	waccab	wzcsa	axcca
cony	conys	clby	conh
iget	iyet	ugrt	inet
onoŋogi	znoŋogi	onoŋlgk	lnoŋohk
mukatto	bukatto	muiqttp	jukarho
kameno	kamenot	kwmsnp	kamffo
gwogi	gwogiy	twori	gwohm
gipitto	ggpitto	gopiyyo	gipihtk
ayubbe	ayubbe	auubhs	ayugbd
wucito	wuqito	wugitl	wuxiro
iyoo	idoo	kyoi	kgoo
retto	rjtto	reftk	retto
tukke	ttkke	yukkr	tukkr
denari	denjri	dgnxri	xegqri
owacogi	owqcogi	owzvpgi	owacogi
gulor	nulor	ghllr	nhlor
ginyako	gieyako	ginyakk	tinyzkp
orwacco	orwacco	orwadci	orewvco
puru	pupu	kugu	pueu
emmeni	immeni	eknehi	emhego
wurye	wueye	wuvye	sirye
iyel	iyeq	kyek	iyel
giteddo	gitoddo	gitrddo	yuteddo
wutwegi	wutwewi	wufafgi	wugdrgi
wean	wian	ssan	wsxn
otugo	otuwo	orjgo	otugm
kibiritine	kibiritine	kjbifitjne	kiniditine
igee	ifee	lgfe	jgew
wapwoyu	wapwxyu	wapwlgu	wakwkyu
wabigerro	wabngerro	wafigerno	wanigerro
etye	eyye	eyyw	ehyr
itwu	itwur	iywi	igwj
gitiŋe	gitize	biyiŋe	gohiŋe
opwonyogi	opwonyogiv	okwonylvi	opdobyigi
melkijedek	meltijedek	melkijexeu	jelkljedej
makke	makkez	mamkf	kayke
gupwoone	gupwooned	gulwline	gukwoine
woor	loor	doof	wokf
kikoma	kikoma	lukoma	ninoka
kotte	kothe	kpttr	kotrr
potto	potmo	oottl	piyto
kiyata	kiyath	kiheta	kjyahz
ker	ken	jer	kst
wule	hule	wyld	wuls
warwako	waewako	watwqkk	waedsko
laloyo	lalwyo	lqllto	lalouo
ocikke	ecikke	ksinke	ofikke
lagal	lagav	laral	lagao
jo-nu	jo-yu	jo-uu	jp-ni
kengi	kengig	kengh	kenbi
ticca	ticcl	tuccx	ticca
gudwoggo	gudwyggo	givwogho	gudeoygp
gilwalwu	gilwxlwu	hklwalwk	gipwslwu
riŋo	hiŋo	roŋi	giŋo
obilo	objlo	objpo	kvill
agul	sgul	afuo	qgup
gicam	gicau	gixan	glcwm
awula	awulax	awula	awuls
jenynye	lenynye	yehynyd	jenybne
ogonne	ogomne	ltonne	ogohbf
ngatti	nhatti	nyatti	ngqtfi
abaa	abaf	zbaz	abqa
lalibbo	lalijbo	lamifbl	lalinno
gammone	rammone	hamkonr	tahmonr
ocorre	ocorrew	ovoere	jcorfe
boaj	boajp	gosj	goam
geyi	gsyi	gfyj	beyi
otwit	olwit	ltwiy	mtwjt
kwayi	koayi	kwajj	kaagi
owaco	ywaco	lwsco	owafl
aruddo	kruddo	adufdo	aruddo
rot	roth	rkt	rpt
cup	cupg	xup	dup
ired	iwed	urrd	itee
lunyodogi	lunyodmgi	luhyorogl	lhnyodori
ilorro	ilrrro	klotdo	ilosgo
dalmanuta	dalmanutai	dalmsnkta	dalnwnuha
agerro	agerqo	agfrrl	agergo
garo	garor	earo	gdro
aol	uol	aok	alm
tiberia	tiburia	ribediq	tobsriq
wumigi	wumygi	wunigi	sumlgi
lukolinti	luknlinti	lukpiinhi	lukplijti
meciya	qeciya	hecuha	medkha
nonno	jonno	jonnk	nonno
atikatika	atikatika	atkmatila	atikwtika
aburra	abugra	xburba	abigra
olwoŋe	olwqŋe	olepŋe	okwoŋe
ocit	octt	oxif	pcit
wubidok	wubidok	qubkfok	wubidpk
mucumeni	muuumeni	mucmmehi	gucumeji
angeyoni	angeyonw	qngwgoni	angsyknl
lawote	lgwote	pawoye	lawoef
biccakke	bicvakke	bicxanke	bicvaknd
lulonyo	julonyo	pulpgyo	iulonhk
remoni	remonb	bemogi	tekkni
obiiro	obiico	lbiiso	kniiro
lukulo	lukulq	uuiulo	iukilo
paulo	pqulo	pqilo	paukl
tkide	fkide	tiixe	tkkde
tiyo	tiso	tiyj	yiyo
guguure	guguere	guguusr	gugykee
najaret	nararet	nsmafet	nwjwtet
itamo	itamo	itzno	itwmo
maleŋa	maheŋa	mslfŋa	maleŋz
lajok	lajrk	lsuok	oajom
tetto	oetto	grtto	retro
anyirane	anyirate	wnyitxne	dnyieane
wutin	wutik	wufkn	wuhon
gucit	aucit	nucjt	bufih
maromrom	maramrom	hatohrom	marpjrom
obologi	obologii	oholohi	ibplogi
kwayaaye	kwayaayi	kwahaaye	kwwtaaye
ocwiine	ocwiinv	odwikge	ofwuune
gibikwerro	gibiiwerro	glfikwergo	gifikwetrl
olwokko	olwohko	lowokmo	lkdokko
lapii	napii	laplo	lapik
tekona	tekono	hdklna	teklta
lapwony-cik	lauwony-cik	lqpwony-xik	lapwinm-cii
gitiko	gioiko	gktiko	gutikk
olokko	oloeko	oilkko	llpkko
ogannye	ogannyev	ogamnne	ogannyb
lugen	lmgen	lugzn	lkgen
gipyem	gipyen	gkpydh	fjpyem
kwedde	kwedle	kasrde	kwqvde
gukonygi	gukonfgi	gukobygj	guuonyhi
is	ws	is	us
oboke	okoke	ovoks	lnokw
guyeŋ	guueŋ	gkyeŋ	gubeŋ
denmark	dengark	dehmdrk	denmarm
kadorre	kakorre	kwsogre	madirre
yoor	moor	yopt	yoot
gworre	gworrk	gdords	gwirre
eno	ono	ejo	eno
