khuwakho	khuwarho	uhuwakhj	khuaalho
khureewa	khureewap	hhureeea	mjufeewa
khurabila	kyurabila	ihkrabilx	khutqbils
khulwekhuba	khulweshuba	kgklwekhuba	ihuiwskhuna
khubatsekhelela	khubajsekhelela	ohyfatsfkhekela	mbubatsekhrleka
bubweela	bubweelj	bugeesla	nkbweelq
babaweele	babaweeleo	babawsfie	gxbaweepe
babasheese	bgbasheese	fxbasheesw	babzsherze
kumuukha	kumuukhas	kuhuukra	ktmuumha
waloselakho	walosmlakho	waioeslakho	qalpsslakho
arumanisa	arumanzsa	arumanhsa	xrjmanjsa
mwihandalase	mwihnndalase	mwihanfskase	mwitamxalsse
barumana	barcmana	bxrknana	barujajz
shili	yhili	dhilj	snloi
muntsokese	muntsokase	kunyskkese	mjmtskkese
abekhaliliikha	abekhalilitkha	ageuhaliliokha	abeuhzliliukta
simukhaliile	simykhaliile	slmungaliime	somukhaljile
benaanayo	bwnaanayo	benaanqyo	venadnayo
bakhuwabile	bakhusabile	bskhywavile	vzmhuwwbile
shamuwambakho	shamuwambakhos	shqmuwamnakho	smamuwambqkhk
kutuumibwa	kutuuvibwa	kutuumkbca	kutyymibea
shisuli	shusuli	skisjli	shisulk
ukyende	ukvende	ukhebdf	ukyegcr
waliindibwila	waliindihwila	waliijcjbwilw	aaliindibeioa
muwe	mjwe	hiwe	miqe
netsubila	netsucila	jetqkbila	negsubjoa
imbebuyililamo	imbebuyilalamo	invehuyilimamo	imbebutilklzno
ndibakalusa	nddbakalusa	ndofakslusa	ndibaialmsa
s'aruratsakakho	s'aruratgakakho	s'arjrqysaksoho	s'arugagxakakmo
awandalasa	awjndalasa	awwnwalasq	wwabdqlasa
yaabwe	yaabqe	yqxbwf	yqafww
bibileekela	bibileekeza	biblleejels	binomdekela
simulinyala	simulsnyala	sukulonyala	eihulinyala
bamulaanga	bhmulaanga	bsmulwsnga	bahjlaanga
simumenya	simumenyau	sikumegga	aimumenja
shikhaliwile	shiahaliwile	zkikhaiiwile	shikmaliwule
khukhwikhalilikha	khukvwikhalilikha	khukhwikhahillnha	ohukywjkhaoklikya
yuno	funo	yyho	yunl
kamala	kaqala	namwlx	makals
mwikhake	mwikyake	jwikhakw	mdjkhake
bandu	sandu	banxy	nxnfu
sopateli	sopateliy	zooafeli	sopateli
winyoola	winysola	dinyoilq	wigjiola
shingene	shingehe	sbingdnd	sbongehe
uwinuula	uwinuuls	uwimujls	uwlhuula
shamutorwasa	shamutorwasay	shamkrorwsss	etwhutorwasa
khukhwiminyisa	khukhwiminyisak	kbjkhwimonjisa	ohukhwimijyoss
khushuusakho	khushuuoakho	jhhshuysqkho	khusykusskhi
bubewo	eubewo	fufswo	hubeeo
khwabaleekela	khwaballekela	khwabakefjela	njaabaleejela
siwakholile	siwakhowile	cidajholile	duwakgolile
matuuli	mapuuli	marjili	mxhuuli
khwambukha	kcwambukha	khwamvikhz	kuwanbukha
sikunyala	siounyala	dijuhyala	skkunyaia
mbiso	mbisb	mbkeo	mbisl
amuwambise	azuwambise	xmuwambiae	ahuwakbise
sibabamo	sibabamod	fibsbamo	xjbwbamo
lilishuukhile	lilishuukzile	loiishuukhimf	lillshujkhile
khuwayilisa	khuwayiliva	khueqyilisa	kiuaayilisw
alyaama	alyaamal	xlysamx	slyaamz
khuliisa	khulixsa	ihupiosa	khulyisq
khwaniina	ehwaniina	khwabilnz	khwabionw
n'ubaleekele	n'ebaleekele	j'ubqlfekele	n'ubelerkele
babikabananisa	bjbikabananisa	bafikabahqhisa	fzbikabamagisx
mwombekhela	mwombekhela	mdpmbekhels	mwohbekhsiz
bamwambaasa	bavwambaasa	vqnwambaasa	bamwamhaasx
lyayilingisiwile	lyayiliygisiwile	lywtilinfiwiwule	lyqyilingjsldilr
khusikulibwa	khubikulibwa	ohusijulofwa	kkusioulibwa
akhuwe	akauwe	xmguwe	zkhues
ukhaliwileyo	ukxaliwileyo	ukhqliwileyp	ikbzliwileyo
bwayiitsa	bwaypitsa	bwayiifsa	bwayiotca
walisibwile	walisibwiae	walksibeils	wwlisibeilr
ukhupile	wkhupile	jkhuoime	ukhuplow
mwawandalaliile	awawandalaliile	kwawzgwalaliild	mwazandalslikle
bakhaba	bakhjba	bzjhabx	bauuabx
n'ashimanyakho	n'ashimanyakjo	n'ashkmanyakto	n'wshjmwnyaoho
aloombele	aloembele	aloomhgle	aiooubele
shibemisile	shibemisive	shinwmiwile	shivemieoie
khumuloombela	khumugoombela	khumuloojvwlz	khumuiiombrlx
khubahangasa	khubahadgasa	khybahangzsa	ktuvahangaaa
ulikhuboolela	ulikhqboolela	hlkkhuboopeka	ulikykboooela
yorimu	porimu	yorlmy	ymrimu
shetsila	shetsilaq	whwteila	shetsikw
inditsukha	inditsukha	indifshkga	inriysukhx
shikholikhe	shikholikheu	suikhklikhd	sgikhokikhf
indiyo	indiyr	unclyo	lnfiyp
khuboolelwa	khuboolelwa	kuuboilelwz	mhuboolslww
bamuloleleele	bamuvoleleele	bamuooleofrle	bamulklelesle
khukaŋoonaŋonele	khqkaŋoonaŋonele	ktkkaŋoonaŋkjele	khukaŋimnaŋpneie
khukhwifumisa	dhukhwifumisa	khuihwkfymosa	kuukhwlsumisa
ashuusa	ashzusa	aqhuucw	zshuusx
mwakaanisa	mwakmanisa	mwwkaanlxa	mdaksaniqa
khukubotokhelela	khukubotokheleka	knkkunotokhelela	khukjbogojhelfls
akhururakho	akhbrurakho	aomururakbo	akhjrurqkho
kifwanane	kifwpnane	kirwwbane	kigwanzne
lw'omusaani	lw'omusaaki	lw'omksxsni	le'kmusaagi
khwashilomakho	khwashilomckho	khqzahilomamho	khwashilonqubo
babekontselelela	babekontselglela	babdkontawpelela	babeolnhdelelwla
simbwambaasakho	simbwambaasrkho	wkmbwajhaxsakho	ajmbwamfaasakhk
uwiitsila	uwiissila	uwiitckls	udiitsima
bibyandibeele	bibyjndibeele	bivyandigeele	fibtwmdibeele
wandeeba	waxdeeba	wxgxeeba	aanxeebx
bekhupa	bekhvpa	bekyyoa	bfkuupa
s'aloma	s'alomam	s'apomz	s'qlkms
babatsekha	bamatsekha	babagsfkha	habatsekhx
kaperunaumu	koperunaumu	japerujzumu	kapetunzyku
likanwa	lijanwa	likanws	iikamwa
kukwarura	kukwarurat	kkkwzrkra	kukqatkra
mutsye	mutqye	miywye	nytsys
khukhwikaana	khukhwiklana	khyjhwikzama	nhuijwikaanz
babalila	mabalila	vaealila	babaljla
ishibuula	ishibujla	isjjbuulx	iehiguulz
katimaana	katimaang	kstimsana	mxtimaana
yefusa	yemusa	hecuqa	geruca
mwawukhanemo	mwawukhanemou	nwzdukmanemo	mwzdumhanemo
khumwinyoowayo	khumwinyoewayo	khumwlngopeayo	kjumwinyooqayo
kamaani	eamaani	iamazno	kamqami
imboolele	imbooldle	jmeoolele	inbiolele
lutsya	lutsyaw	lytdys	lutxya
bisutwa	bigutwa	bisirwq	bixutfa
barindimukha	barindifukha	bxrijzimukha	gafindimuuhw
mwaramile	mwauamile	jwarqnile	hwwramile
khw'isho	khw'ishv	khw'ixhl	kuw'lsjo
kila	kilb	kupa	kila
khubetyukhisa	khubetyukhisab	khhbetyighisa	ihugetyukhiss
khumuyindaka	zhumuyindaka	kgukuhineaka	kuumuyindsks
kumuwandalafu	kumubandalafu	kyhusandakafu	kumhwajdalafi
sishebulila	sishebutila	siajfbulila	sjshefupila
umukhwalikhe	umufhwalikhe	umukgwaliuge	uhnihwalikhe
shilili	shilvli	snkiili	ahilolk
bubwakaanisi	bubwahaanisi	bubsakaanudo	buvwakaanizi
khukhwimikha	khukhwnmikha	khykhwjhinha	khuktaimikja
mushebulilatsake	mushebumilatsake	kushefuoipahsake	mushemililatwake
khwaloomba	khwalpomba	juwaliomba	khwalkomga
mubonekhe	mubonekhg	munobeuhe	mhvonekue
babara	babarf	hsnara	bwbafa
muliindanatsake	muliindaoatsake	mjlikndajatsajd	nuliindsnxtsake
mwekana	mwekapa	mwtksna	msekaja
mwakhalasibwa	mwakhalasiswa	mwakhqmaskbwa	mwajhalasibwa
imukali	imukafi	imumwll	inunqli
khumuwabila	phumuwabila	kuumhqabila	kjhmkwqbila
shaakha	sgaakha	sizakha	whqamha
shabwe	shlbwe	shwnqe	wbabwe
bakhali	btkhali	bzmhaoi	bqkhali
bajulisi	bajulisie	bajyoisu	fauulisk
kwawombesa	kwkwombesa	kwawomrrsa	kwawomvesa
kaatirira	kaatjrira	lzatiriga	uaarirlra
sh'omwoyo	oh'omwoyo	sm'omaoyl	zh'omaoyl
banamundyoole	banamundyojle	fwnamubdyoope	bqnzmknvyoole
shireebo	skireebo	shueeebi	suireebo
namenyulakamo	nzmenyulakamo	nqhegyulakxmo	namenjilaksho
mwafukiilisana	mwafukiilgsana	mwafukljliswna	jwacuniilisana
bamulaangile	bimulaangile	bamulwabhkle	bamupaaggild
imbeelekho	qmbeelekho	imbewlekjk	imbeelelto
baamunyoola	baamunyoolaw	bwamjnyopla	baqmumgooma
nabawamba	nabowamba	nabzwahha	bavawamba
bulibonesebwa	buliboneseiwa	bulivinesdbwq	gulibomesebca
nabaronela	nabaronelaa	nxbarkjela	nwbaronels
khwikyelisa	khwikyeliza	ihwokywlisa	ihwijyelisa
akazi	wkazi	akaci	akaxl
mwakuliwa	mwakuliwap	maakuluwq	msakuliza
shoola	zhoola	sjoola	chlolx
ubatsakewo	ubatsakewu	uvaysakswo	yfatsakewo
b'omukhasi	m'omukhasi	g'ojulhasi	b'okukuasi
babakholana	babakholanad	babakhklamw	bagxkuilana
weewe	weele	wwews	wewxe
shenyusibwa	shenxusibwa	dhenyueibwx	stsnkusibwa
telutisi	telqtisi	telkgusi	tdluhlsi
baliilekho	baliilekht	baliilrkjp	baoiilekhp
bayaaya	baynaya	fayaxys	bagaays
khwisaaya	khwissaya	knwlsaqya	kheiaaaya
walisuta	qalisuta	dslicuta	wdlisura
bewombesa	bewombesaw	newimbeza	besombezs
wakhwisa	wnkhwisa	wakbdiss	wauhwisc
iri	irit	jri	igo
khulondekhana	khulondekhanam	mhulondskhzna	khulondeouanx
nasiinga	nayiinga	nasiinvw	nafionga
balireera	bklireera	baliteera	halireefx
ningile	ninoile	jibnile	jijgild
khumutyabila	khumutyabiba	kbumyyyabula	khumurtsbioa
namutweela	njmutweela	namuywsema	namkfweelz
bibiramile	bibirrmile	hibirsmile	bibkramilr
alibaliwa	alinaliwa	dlibaliwz	slobaliwa
khwiŋoonaŋoona	kfwiŋoonaŋoona	khsiŋionzŋoona	khwiŋkonaŋolna
wayitsula	wayitsuwa	sayirxula	wayktduls
bawuyisibwa	wawuyisibwa	gaauyisifwa	bqwuyuzibwa
umusoleeli	umgsoleeli	uuuzoleeli	ukusmleeli
sabachthani	sabaphthani	dabacbthagi	sabqfgtyani
khukhakilisibwa	khukhakilisibwah	kyuuhakilieibfa	ktumhaoipisibaa
nafuna	nafuia	nagina	nqfyna
lyatsiile	leatsiile	oyxtsiilr	lyarsoike
wamureeba	waxureeba	wanutreba	wamurewnz
kakafuura	xakafuura	kahabuura	kakafujrx
khureerawo	khureerawk	khurwefaqo	khureecawo
emwaalo	smwaalo	ehsaapo	emwaspo
amufukiilila	amtfukiilila	amifunuolila	amucujiiiioa
bwawandalasibwa	bwawandalasiboa	hwawqgdzlaqibwa	bwawamdqlasknwa
ndebe	ndobe	naebe	ndwbs
bakwalaalile	bakwalaaoile	bamqzlaalild	gakwwlazkile
baakhalawo	baakhclawo	baaohwlaeo	faakhalawo
akhutseeta	akhktseeta	akhutaertw	akhutserta
wawulila	wawuyila	qawumilq	wzwulils
khufwila	khuflila	khjdwipa	khurwiix
tsindaalo	tsisdaalo	tsindaalp	tsinfazli
baawa	bbawa	bzaww	bqaww
adi	aei	xdi	ado
mafumala	mafumqla	marunalz	hafjmaia
khushiŋoone	kqushiŋoone	kgkshiŋoohe	khuwtiŋoone
kumukha	kfmukha	lymumha	njmujha
arangilile	arangiliwe	afajrilile	arangimiie
lisikamo	lisikauo	lisjkamo	lisjnzmo
kamafuki	kimafuki	kamsciki	kahwfukl
wakikwisila	kakikwisila	dakilwisioa	awkikwisila
uboole	ugoole	jfoole	kbokle
balomele	balomile	falomdld	bapoiele
yoolelekho	doolelekho	tkoleleiho	yooleieuho
iyakhuweebwa	iykkhuweebwa	uyakhiwsenwa	jyakmudeebwa
n'akabananisa	n'akabananssa	n'soabananjaa	n'akxganznjsa
kheesi	kceesi	kywewi	kjersi
nakhubonekhele	nakhubonekhcle	hamhubknejhele	nqkkubonekhfld
wesakho	wesakhd	wesakgi	wessjho
khwashihandalasile	khwashihandalaxile	khsashihandxizsile	khwsehihznvalawole
tsiimbwa	tsiimbwc	fsiimfwz	ysiinhwa
shikhaabe	shgkhaabe	dhikhasge	shikuaqbd
umukwa	omukwa	umuhwz	uhjkda
bwaburukha	bwaburuxha	bdahutukha	baaburukha
khube	khuze	kgubs	kmuve
binyenya	binyenyab	nigyenyw	bingdnya
mubaleekela	mubaleekesa	mybsoeekela	mubalfekwlq
batsiililila	batsielilila	bztsiikilika	bstziioililw
engilemo	engilsmo	engolemo	emgilrmo
bibeyakhilwe	bibeyakhiewe	bkbegzkhilww	bubwyzkbilwe
ubuyilisibwa	ubuyilisibaa	ugjjilksibwa	uguyiljsijwa
babakwaarire	babakwaariree	nzbskwaarirs	bafajwasrige
wabaliindiliile	wabaliindkliile	wzbaliihdipiioe	wsvapiindoliole
kane	kanh	kand	kahe
khwawombesebwa	khwuwombesebwa	khwawombeswfwx	umwxwombssebwa
n'ubuula	niubuula	b'ubukoa	n'hnuula
barekula	barehula	barenupx	bwrekula
wekyelile	wekyelire	wentelioe	weknelile
babusanisi	bvbusanisi	babuzanoxi	babussnlsi
ukhamanyikhana	ukhamhnyikhana	ikhakagyikhanz	ukhamzgyikhajw
kumusiru	kemusiru	kujudirk	kumusidk
khwandikanile	khwandiranile	khqamdiksmile	lmwabdikwnile
wamulolelela	ramulolelela	wxhuiolwlela	wamulopeodla
mureebana	eureebana	myreebsnw	myfeebanx
khukhulimo	khukhulico	kmunhulumo	kyjkuulimo
ukhawombesa	ukhawombesaz	ukhadkmgesa	ukhaaomhfsa
kolubani	kolubali	lolubank	kolhbanh
ninyusa	zinyusa	ninyuaa	mjmyusa
nimureerekho	nimurezrekho	nikkredrwkho	mlmkreerenho
wokesanisa	wokesasisa	wouwsanisz	wokedanisd
ukhuloomba	ukhuloombaj	uuhylolmba	ukhulolmba
wekwalaasa	wekwalaaba	wekwdoaasa	wekwxlaasa
wamayo	waeayo	wwmxyk	wxmwjo
wabisamo	kabisamo	wabjsayo	wqbisamo
s'akifukiilila	s'akifukiiyila	s'auofukuililq	c'akufukiolulx
panfiliya	danfiliya	pameoliya	psnflpiya
tsiloma	tsiloaa	twilkmx	twlpoma
bwarura	bkarura	bwarhra	bszrufa
bakyeende	bakyeendea	bzkufende	bzkyeendf
basile	bxsile	bzxike	basule
lyaloma	lyfloma	luwloka	kualoma
wayimambisa	wayimymbisa	wauimamnisq	wayimamviqa
afwiilwe	arwiilwe	afwiiiws	agaiimwe
kharaano	kharaanoe	uhxeaano	khwfaani
kobolayo	koboeayo	kibokqyo	kmbolato
indiliha	jndiliha	jnsilina	infiliha
umulimi	ululimi	uhuliko	kmuoomi
mbaboolela	mbabooleta	mnablomela	mbwbooirla
shikhubeela	xhikhubeela	dyikhubeelx	whikhubedua
warusile	warusixe	xagusile	warysipe
mwiyikino	mwiyiuino	mwnyikjno	mwiyiunno
imbareeba	imbaveeba	imbzrefha	imbaeesba
khubashebulila	khuqashebulila	kmkbasyebullla	jnubashebulila
wamuwona	wamuwoia	wqmuwora	wamuwohs
mbareebe	mbarhebe	jgareebs	mgsreebe
isawu	isahu	lsawu	iqswu
ilikwakho	iiikwakho	klikswkho	ilikwauhi
balikhola	baxikhola	bwiikhoma	bwoikhoka
niwulile	niwuqile	gkwuoile	bkwulilr
khubaboolela	khfbaboolela	khubsnillela	khubqhoolela
uminyaala	uminyaalau	uhlnyxala	umigyaala
barusakho	bnrusakho	bsrusamno	barksakjo
kuubi	kuibi	muufi	kjjvi
bibyareebwa	bibyareebwaa	bifyareegwa	givyarsdbwa
weŋoonaŋoona	weŋoonaŋoonaw	wrŋolnaŋoona	weŋoinaŋoona
tsahela	tsahelax	tdahtla	tsanspa
shikhaliwilakho	shikhaliwilakho	shoohapiwilakup	sbikhaliqimaobo
mafuki	mafuki	mafunl	mxeuki
mukhalekelesatsaka	mukhaoekelesatsaka	munnaldkeoesatzaia	mukhwlekeoesauxaka
sitefano	sitefanod	sjtefano	eitsfano
lwikiitsibwa	lwikiitsqbwa	lqikiitsjbwa	lwikkitsibwa
baarona	bsarona	bawrons	bsagonx
ukhabonekha	ukhabonepha	ukhanonemhx	jkhqbimekha
khukhweeselesa	khuknweeselesa	ktukhweecelfsx	khujnwwwwelesa
abaloma	abaloms	abqpona	qbapoma
muwonesebwe	muwokesebwe	muwihesebwr	mueomesenwe
mwakholile	muakholile	mwakbklilf	mdajholile
awonesewe	awonesefe	adoneaede	xwonfxewe
basilu	yasilu	hssilk	gadilh
khukhwitubaasa	khckhwitubaasa	khukhwktjbaasa	khjkhqitubaaaw
shifukhu	shioukhu	shifjkhu	shifuinu
abiya	abiym	abiya	abigz
akyeendela	akveendela	alyeendela	qkyeemdeia
bashilaanga	bashiuaanga	vashilaanbq	gashilzxmga
khwofwasa	khwtfwasa	knelfwasa	jhsofaasa
shishifuurira	ssishifuurira	shiwhieihrira	sjishifuurlra
meleki	mqleki	irleki	hflemi
khubikhola	khubikholu	kbubukhola	khhbikhplq
khulaangiwa	khulaangiwj	khnlaangiea	kmtlaamgiwa
tsimboofu	tsimzoofu	tslmvoofu	tzimboobu
balimunyweekha	balimunyweekla	valimunyweekga	baijmunyweekha
baloondakamo	baloondskamo	baloomfxkajo	balpohdxkqmo
bibyetsula	bibyetsura	bihyetcula	bibyetvula
rufusi	rufdsi	dufhci	rkdusi
akhalekho	akhalekhob	auhaleihp	akbqlfkho
khufune	khufsne	jhydune	iuudune
imbatwiikhe	imbatziikhe	imbatduikhd	ingatwilkhe
uwakhwikyelisa	uwakhwikyslisa	uwwkhwikywljza	uwwkhwukyepiss
itsamu	itramu	lfzamu	ihssku
kyoosi	kqoosi	kyopsi	kyplso
mukhakhalabanila	mukhakhalabanilc	mikhaknalabaniow	hukhakyakabsnila
khulwabwe	khulwabwer	khjodabwe	kuulwavwe
kimisaambwa	kimisaambwt	kimiszwkbwa	kimisawmhza
khuuba	khuupa	mhuuva	kjiyba
balamusibwa	balamukibwa	nalamuqibws	gslsmusigwa
mwamala	mwamata	mwamwld	jwamwlx
dalamanusa	dalamanasa	dalsmajuea	dxpamanusa
singene	sidgene	sintsns	wkngege
indimuwa	indimuwag	jmdimuwa	inximtwa
balimutsukhakho	balimutswkhakho	balikutxukgakho	malihutaukhakho
amwombakhe	amwombakho	amwokbwkhs	ahwombzihe
kakalima	kaknlima	makalinz	kakzlima
mwakonatsakamo	mlakonatsakamo	mwakinzfsakamp	mdzkomatsakamo
wayitsuba	wayitsubar	dayitsuva	wayytsuna
umuhandalafu	umuhandalafz	kmuhamfalafu	umunandalsbk
mubirusewo	mubivusewo	jublruaewo	mubirkdewi
nakhwo	nakhwm	hxjhwo	gaoheo
babeetsayo	babeeesayo	baneefsayl	bangetsayo
mwitikite	mwitikiue	mfitlkite	mwiriiote
khushiina	khqshiina	uhustlina	khushiibw
shinganikha	shiwganikha	stinvanikja	sgifganjkha
khakhakhuwonesa	khakhakruwonesa	ohakhakhuwknesa	khakmaohuaomesz
khusaalikha	khusaalqkha	kjussalikhz	khusaalikbq
bubuuliwo	bubudliwo	bjbuulowo	bughuljwo
batsikulamo	batsikulamv	fatsimhlamo	bahsikilamk
bebiliile	bebilqile	hebokiile	bebilijld
khusiimise	khuaiimise	khusuikkse	khuqiimisa
khuraambila	khuraambiya	khufaambjla	jhurdambila
boonaka	boonyka	boknwka	bponxua
n'ubone	r'ubone	j'ubone	n'uvonf
imbesemu	imbexemu	ihbdcemu	ikbesamu
babunisa	babucisa	bzbunisx	babknixa
bukhuyeete	blkhuyeete	bukmuieete	gukhuyefte
ninomile	nicomile	gjnomipe	niblmlle
walirusamo	calirusamo	walkrusaml	wxlirusaml
sineekha	sioeekha	slndeoha	sjnewuha
biliwawo	bibiwawo	fikiwwwo	bolieawl
babashebulila	babashebulica	gabadnebuljla	bafxsyenulila
kyaweela	kyaweelag	kywweels	kyaaeels
umuŋoosi	qmuŋoosi	imuŋopsj	kmuŋlosi
wayoneka	wayqneka	wagoneka	wagoneks
kakanikha	kakanikhae	kaksnukha	kaianikya
wabiwa	wariwa	aabuda	aahida
imbufune	imbufunb	imbufnne	imnufuns
khumwiikoomba	khumwiikoomba	khkmwiikopmbw	khumwiikopmba
n'usheesele	n'usheeseleu	n'heheesele	n'ishewseoe
khubiyila	khubiyrla	lhubuyilz	khkbitilw
umwiyikinwa	umwiyikilwa	uhwihiiinwa	unwutokinwa
beyaange	beyaangp	beywangd	beyaagfd
khubonekhana	rhubonekhana	ogubobekhaba	khubpgekgwna
khunjeeta	khunjxeta	khynjrets	khunjeetw
s'imukhalila	suimukhalila	s'imulhallla	s'ijukhalila
mahati	lahati	mayati	mzhwto
khutuye	qhutuye	uhuhuje	kmiyuye
yareera	yareerr	yarfwra	hareerw
bipwakhuli	bipwakhulp	bipwahhulk	bipsqkhuli
ekuliwilewo	ekuliwilewoe	ekulksileso	eouluwileao
byamwiyakhiilwe	byamwiyakhiilwp	byahxiyakhojlwe	buxmwitzkhillwe
biramewo	biramewo	nigamdwo	boramedo
kwahaanya	kwahlanya	kdahsanga	kwahaqnyz
khutsiinisibwa	kfutsiinisibwa	khugsiibusibwz	khutsiigispfda
byetsuule	byetsuuwe	byetsuuog	bjecsuule
mukhwoomisilakho	mukhwoomisilakbo	muihwoomisilzohp	muphwokmisylakho
wanatsakekho	wanatskkekho	wahahzakfkho	eznatwakekhi
kukwaborokha	kukwaborckha	kujqaborokys	kukwzborlkba
awulila	awulija	aqullls	awjoila
khakhola	khajhola	khaohlls	kmskhola
lilimanyikhana	liltmanyikhana	lilikamtikhxna	mimimanyiknaha
n'abeele	h'abeele	n'sbwepe	j'abeeie
khulekelesa	khulekeltsa	lhilekelesx	ihulekwlesa
nakho	namho	najbo	nakfo
asiimibwe	akiimibwe	wsiinivwe	wsiomibqe
wamutsowesa	wamugsowesa	wzkutsowesa	qamutapwesa
khukyeniya	khuhyeniya	ohukyenigx	jhukyenoya
babaandi	babaaqdi	banaajdj	bagaamdi
mubesamo	lubesamo	jibesqmo	jubfszmo
shimaliilisayo	shimaliilisavo	shomaliikksayo	suilaliilisayn
bawola	bqwola	basoow	bxwlla
n'ema	n'emi	b'ems	n'ema
bashiruremo	basuiruremo	bssbiduremo	bashorteemo
uwiloosela	uwiloosela	usilolselz	uwimioselq
bamureerera	bamureereea	bakuredrers	bamyrewfers
khukhomebwela	khukhomebtela	khulhokebdrla	ktukhomwbweoa
akhawukhanisa	mkhawukhanisa	quhawuuganisa	akhawukbanlsw
babaabawo	rabaabawo	babaabcwo	nabaabawu
ukhuyeeta	ukhuyeetaz	ukuugeetz	ukhujeega
khwinjila	khfinjila	khejnjilq	kgwinjipa
babakhomyaasa	babakhsmyaasa	bsbskuomyaaaa	gabskgomyaasx
k'omusiku	k'omusibu	j'omusiku	k'pmusjku
khukhwitsufu	khukhwiasufu	ihukhwitaufk	khiihwkrsufu
mwerekekha	vwerekekha	mwerfkekhx	mqwrekekha
mwaliindibwa	mwabiindibwa	mqaokindibea	mwaiiijdobda
khubebuyililakho	khubebuyililaeho	khubefuyipilanhk	thunebuhililakho
khulaangiwatsaka	khklaangiwatsaka	jhumaanbiwatsaua	uhulaangieztsska
yaayawo	yaayawo	yqajawi	yxwyaao
khumuwa	ktumuwa	khunuwa	khuhuwq
mumuloma	mumutoma	mumhlpja	oumulomz
noola	noola	nopka	gokpa
khutwiikha	khudwiikha	knutwlikga	kgutwijkhs
perugamumu	peruramumu	perhgsmuku	perugamhnu
umukayi	umukayk	uhukayi	ymuuayi
khukhwaamayo	khukhwaamayov	khjuhwxamayo	utukhwawmayo
uwakhakakho	ufakhakakho	kdakhakzkho	iwanhajajho
roma	moma	rohw	ronz
khukhwofwaasa	khukhwofwaasae	mhukmwpewaasa	uhnkhwofwassa
wabakabananisamo	wabakabananisamoe	sqbakwbananisako	wabxjabcnanisaml
khumukhupa	khumukhuna	khummkhjpa	lhumukgypa
uwoowo	uwoopo	uwpkwo	uwioeo
babakwaara	babakwahra	gabakwsarq	habakqwara
baalaangilila	baalaangilrla	faxlaanyilila	baqlazhgiljla
kumwonaki	kumwonakm	kumwonski	lunwojaki
sarudi	sarndi	aaduri	sxdudi
bamuwanyiinya	bamuwanyibnya	bwkuwangiunya	bzmywanyiibua
mushambaasa	pushambaasa	mushxjnaasa	khsuamvaasa
melikizedeki	melvkizedeki	kwlikizedekn	melijizexeko
alinyoola	aqinyoola	wminyoooa	alinylolc
nga	ngm	nfa	nyq
uwaha	wwaha	uqsha	udaya
abalukhawo	avalukhawo	abamuluawo	abaoumhaso
khumanyile	khumanyive	khunanyole	kjumahyile
inondekho	inondlkho	inondeihi	ijonddkto
bakutuuma	bayutuuma	bakiyuyma	bakuruumx
shikhabayila	shakhabayila	ehikhafayolx	etikhahayilx
mwetubila	mweuubila	mwetggila	nqetubils
aweebwe	aweobwe	swrebwr	aadebww
wabawoonele	wabawoontle	sanawlonele	wafawoibwle
simwantsakaanila	simwanzsakaanila	qimwsmtzakqanila	sikqsmtsakaanola
shitsakha	shilsakha	shiysxkga	shjtqakhq
linganikhayo	lingamikhayo	mingahikhzyp	linnahllhayo
anywa	anywx	anjwx	zngwa
luluteengasibwa	luluteengasibwy	oulytrengwsobwa	luougeengwsibwa
abawandalase	abawandalaye	abswandqlase	sgaqandalsse
mwalaangibwila	mwalalngibwila	hwslaannibwila	bwalssngibwila
bubwaama	bkbwaama	bubqaama	bubwaakc
bakikabila	bakikabika	fakioabila	bakloabilq
wafumalikhaka	wafumaltkhaka	wafumamiinakx	safunalikhsks
khukhwibiiyisa	khukhwibiiyisax	kuuknwibiiuosa	khuktfjbiiyiea
naasaalikha	naasaalikga	nzssaaliiha	nxasaaliuhs
muruuye	muruuym	kuduuge	murumje
solo	solj	cklo	soio
balimwiira	balomwiira	bwlimwkirq	baiumwiira
sharurire	sharcrire	ahzrufire	shadudire
wamurumanila	namurumanila	aamurumanila	wamhdjmznila
lukyeendo	lukytendo	luoyernso	lukueehdi
injulila	enjulila	knjhlika	knjhljla
zaabu	zaaba	zaabu	zaabu
mwikhoyesa	mwikvoyesa	mwiugoyeea	kaijhoyesa
kaloonda	kgloonda	lapoomda	kaloonwz
sinatsya	sinatsea	sunatstw	sinqtzya
kamahe	kwmahe	oakame	mamahe
n'omusaani	n'omusavni	n'omuaaabo	n'kmussani
balye	balyt	bwlje	bxlge
s'aliwambisibwa	s'aliwambisibwac	s'aliwambusobwa	s'qliwqmrisibwa
wetsa	wetsl	wftwa	qehwa
khureerayo	khureerayx	khuferrxyo	khureefsto
aliikanikhakho	aliikanikhakeo	allikaniuhzkmo	aioikanimhakhu
washebulila	mashebulila	wawhebulkla	waxhdbulila
bamiliisa	bpmiliisa	bakioijsa	bamiiipsa
shabawebwile	shabawebwiue	whqbadebwilf	shabadefdile
n'umusilikhale	n'umuxilikhale	n'kmhsilimhals	n'umhsilikhake
bakhalondelela	bakhalonielela	bakgalobvelepa	bzkhallndeleua
watsira	watshra	wstsifa	wqtsies
basalaniile	basalanfile	basapqniike	basqlajille
sikhuweentsela	sikhuwaentsela	siktuweeggsepa	sikhudtsnfsela
uwangana	uwanganab	ywqnganq	uwangagq
