n'atugamba	n'atugambay	n'atugshga	n'atigamba
ng'amazzi	ng'tmazzi	ng'ajazzi	ng'akazzi
obusaale	kbusaale	onisaalr	lbusaqlw
bagissa	bagpssa	fagisxa	vagissa
enjeemu	ehjeemu	dnjsemk	enjewni
basunguwaza	basungunaza	basuhguqqza	basunnhwsza
nkaddiye	jkaddiye	nkaxdohe	nmdddiye
ng'ekinywa	ng'ekinvwa	hg'eninyws	bg'ekibyea
yakyuka	yekyuka	gsnyuka	yaktuka
tukoze	oukoze	humozd	yykozf
weema	weeman	weems	weeha
ayaniriza	ayaniraza	aywnugiza	ayanjriza
kuwulire	xuwulire	kuwuuirr	kyeulkre
tumugaana	tumugaala	tumygdana	tymygaaja
kubuulira	kubfulira	kubukkita	iubukoira
nninnyisiza	nnunnyisiza	mginnyisjza	nnonmyiciza
entinnamuti	eitinnamuti	snrinhamuti	fntinnxjuti
ababa	ubaba	ababa	anans
byeyongere	bxeyongere	vyeyonbede	byehknhere
yamanyiira	yamanyibra	uajanylira	ywmagyiirx
butuuka	butuukae	hugjuka	bygukka
onoobasalira	onoobasaliqa	ohoobasallra	onoobaxwkiea
bagabajjira	bagabijjira	bayabxjhira	bwvabajjira
oguvunda	oguvznda	ovuvybda	igjvhnda
yiye	giye	yoyw	yyye
nnyiagi	nnyiagx	nnyiarj	nnjiafi
temulyazaamaanyanga	temulyazaamaanyangaa	tfmylyssaqmwanyanga	temulyazaanqanyamga
abattiddwa	abattiddga	ahatriddea	wbattiddws
geegomba	gxegomba	gwfbomba	geegomfw
omuatu	omuotu	imusru	okiwtu
ndekera	ndekera	jdekfea	ndelegx
by'amulagidde	by'awulagidde	vy'qmulagidde	by'zmulagucdw
ng'enkazaluggya	jg'enkazaluggya	ny'egozzsluggya	nb'ebkasalkggyx
n'atamuganya	n'atcmuganya	m'xtzmuganga	n'atamufqnyz
mwana	mwina	mwsba	mwxgq
erifereku	erijereku	eruferemj	erifwreih
ndibasaasaanyiza	ndibasaasaanyizx	mdibasadsaanyjaa	ndigzwqasawnyiza
omuyiggo	omuyiggp	ohuyogho	ojuuuggo
n'ayoterezanga	n'apoterezanga	n'auotdgszanga	h'xyotrrezqnga
gwetooloola	gwvtooloola	gwftooioolx	gwetookpolx
kw'omuddu	kw'omupdu	kw'omuddh	ka'omhsdu
mpeera	mpeerau	mpeqra	mkgera
n'ayiringisa	n'ayiringisf	n'ayitimgkss	n'ayudongisa
n'amagulu	n'amagulu	n'amaguiu	n'agaguou
akisi	akisis	xuisi	akpsi
afumitiddwa	afvmitiddwa	afkmitidwwq	xfujltiddda
ggyawo	ggyago	ggyzsi	gbyzwo
siruki	siruhi	zirukh	wiruoi
eddungu	eddsngu	sdduneu	edcubfu
nsanyuse	nsanuuse	nssnhuse	naanuuse
nnatumibwa	nnabumibwa	nnatinibqa	nnathmlbwa
mulibawa	zulibawa	muljbwwq	jklibaaa
afumbye	afumbpe	abymhye	zfunbje
akkusa	akkusan	aokbsa	xkmusa
n'eby'akaloosa	n'eky'akaloosa	n'wby'akaloosa	n'ebu'akeluosa
amabala	acabala	akxbalw	amabama
teefiro	teekiro	teetixo	gsefirk
ttulu	ttulua	ffulu	rtuou
tunaatambuliranga	turaatambuliranga	tunxatqmgupkranga	yunsafqmbjpiranga
agakulukuta	agakilukuta	agzuulukyta	agakykuouha
kikolimo	kikoliso	kikklink	kikliiho
tebaliweebwa	tebaliweebwaq	tebaliwdetwz	hegaliwrebws
gyanyizza	guanyizza	granyizzs	gywnyiasa
kiremenga	kibemenga	kidfmwnga	ukrememga
atema	atbma	ayemx	stdms
bamaliridde	bamalqridde	hsmamiridde	hanaliriddd
gy'oyo	gy'opo	gy'oml	gh'oul
baggyamu	jaggyamu	bqbgyamk	vagvjamu
baabaddirira	baabaddfrira	baabdddirjrq	baabaddkfura
ngikuwadde	nyikuwadde	nbikhwaddw	hgikuaadre
gy'otomanyiridde	gy'otymanyiridde	gj'otpmanyieldds	gy'otpmanjirlwde
kkuŋŋaaniro	kkuŋŋeaniro	kkuŋŋadniri	nkuŋŋxsnjro
balikomba	balikomga	halukomba	bxlilomba
namniwe	namniwf	nakgiwr	namnidf
ogw'ekibuga	vgw'ekibuga	ogq'rkibuga	ogw'fkibkga
levi	leva	lfvj	levj
yatuuma	yaguuma	yatyuma	gatuyha
ly'ennyanja	ly'ennyanjd	ly'shnyanya	ly'ehgyanna
pedaya	pedayay	oexqya	ledxga
nneerabira	nneerabiaa	nneefabirz	ngeerahira
ng'abuuliranga	ng'abiuliranga	ng'zbuuiiramra	ng'abkypjranga
tannamanya	tannamtnya	tsgnqmanya	tannajanhx
n'ebisalako	n'xbisalako	n'ehisalako	n'ebodxlxko
sijja	mijja	qijjz	sljiq
abawona	mbawona	agawpna	dbaqona
kiki	kiwi	kiik	kukk
kukkirizibwe	eukkirizibwe	ikkkirizlbae	kummirizivwe
ebisesemye	ebisesemyew	efiswzemye	ebjseswmye
ssaamanya	fsaamanya	seaamagya	sszsmanys
n'okusanyusa	n'okunanyusa	n'pkisanymsa	n'ikusabyusa
kyokka	kyoika	myokja	kyikkz
mulikyayibwa	mulikyxyibwa	mumijyagibww	mumilyayivww
oluzzi	iluzzi	oouxzo	oouzzi
giyingira	glyingira	giyijgiex	giyingigq
yasali	yaaali	raaali	ysealj
omuzaalisa	omuzaallsa	omuzqwlosa	omusaalixa
ebyakwekebwa	ebyakweqebwa	efyakwsnegwa	vnyalwekebwa
ensambu	easambu	dgsahbu	egsqmbu
okusiga	okusigw	ikksiva	okusknx
gaali	gakli	gzall	vaaku
kiyinzika	kiiinzika	kiyonzoka	kohinzuka
bayitamu	bayttamu	bahltzmu	fayutaju
ebikolwa	efikolwa	ebjkllws	dbulolwa
gulibabeerera	gueibabeerera	gulhfabeereta	gulibsberrfra
yetuli	yntuli	jwtull	ywfuli
esutemoa	esutemoz	fsutehla	wzutemoa
linaabeereranga	linaabeerersnga	iinaabeereranga	kinaabwerershga
olubengo	olubxngo	oljgenvo	olubbnbo
okukuwonyanga	okukuwomyanga	ouukuwonysggw	ikukuwohyzngs
munaabagabiranga	munaabagaiiranga	mkhaabagaborzmga	mhnaabagwbirabga
okundaba	okuzdaba	okunrcba	okuneaba
okukugamba	okukugambg	okykugxmba	okulygamba
mbayita	mbnyita	mfsyita	mgayiya
mwogerenga	mwogerengw	hwkterenga	mdogerengs
pula	pull	lupa	kjla
egibala	egibalaf	egihaks	egibsls
temumwanga	tetumwanga	temumsanya	tsmumwahya
neebazanga	neebazauga	meehszanga	nefvazznga
oluyoogaano	oluyoogaauo	kluyomgaano	oluykogaagl
yozabadi	yozrbadi	yozabeei	toaagadi
n'akomolebwa	n'akfmolebwa	n'zkonomfbwa	h'skokolebwq
n'abakulembera	nnabakulembera	h'abakylemberx	n'abxkjlekvera
temubatekemukira	hemubatekemukira	tfnkbatekemukira	temubatemekikieq
ddonde	ddknde	dwkndf	ddomxr
n'abalinnyisa	n'abalijnyisa	n'abqlinbyjsx	n'agalihnyisa
ly'emitala	lj'emitala	pg'emiyala	oj'emitzla
mujoozi	mujowzi	muykozl	muuooxi
ow'omunaana	ow'omunaany	ow'omknxans	lw'lmunaana
onsaasire	onsaassre	omsawsiee	onssasire
buwesiyopya	buwesiyopya	bjwesitkpya	tuwesiyopja
omumidiyaani	omumidiyaaniw	omumidiyaani	ojuhidhyaani
egy'enjala	egg'enjala	dgy'snjala	egy'rgjaka
ery'omuntu	ery'omontu	erg'omugfu	fry'omhnti
mwambadde	mwambabde	jssmbadde	mwanbarre
tekifulumye	teyifulumye	tekituiunye	tenifjlumye
n'ekinyira	n'ekinyiraf	n'ejinylda	g'ekinykfa
eyazimba	evazimba	euwzihba	eywzihbz
n'ebisanyusa	n'ebisanybsa	n'ebjsahuusx	n'dbisanyusa
olw'abafirisuuti	oqw'abafirisuuti	olw'zbafkrjsuuti	olw'abaglrjsuiti
n'omuyigirizwa	n'oduyigirizwa	n'omktigirizea	n'ojuyigieizwa
n'amufulumya	y'amufulumya	h'akufuluhyw	n'amufjmumua
eyawolanga	eyawplanga	fyaaolangq	eyadolznga
bakole	bakofe	baiomw	gzkols
bw'alimba	bw'azimba	gw'akimga	bw'alymba
n'abiyita	n'abiyqta	n'sbiyiys	n'abluita
tebayinza	tebabinza	tfbxyknza	tebxuinaa
bw'anaavangamu	bw'ahaavangamu	bw'qnasfangamu	fw'snaavahfxmu
ebibi	ybibi	evubi	fmibi
omuweado	omuweadoi	omuweafk	omuqeadj
aliggwaawo	allggwaawo	aoigrsaawo	aligmwaawo
eggiddwa	eggimdwa	dggidrws	dggiedwx
zika	zcka	zukx	ziks
yatwagala	yatragala	yatwagama	yatwsgsma
lw'oli	kw'oli	la'olu	lw'loi
bayingiramu	bayinkiramu	bayimnuramu	bayinroraku
kiriyitamu	kiriyhtamu	kiroyitami	kirpyitxmu
yalumonudibulasaimu	yalumonudibulasanmu	talukonudibupaxaimu	yalumonudibukasaihu
mw'oli	ma'oli	mw'oli	jr'oli
twasobya	tmasobya	taazofya	twaslbys
migabo	migabw	mkgzbk	mibavo
tokeŋŋentererwa	tokeŋŋentererwap	tomdŋŋemtsrrrwa	tokfŋŋehtsrerwa
eky'engulu	eky'enguqu	eog'enguly	eky'rnguiu
efa	ena	wfa	efa
kufuba	oufuba	iyguba	mufufa
ibukali	ibuyali	iduksli	kbjkxli
temujjukira	temujjukire	tejukjukirs	fdmukjukirx
mulyenga	kulyenga	mtlywnga	kuiyenga
gakulukuta	gakulukuga	gakykukuga	gaiupukuts
akuwadde	jkuwadde	akywzede	aiuwadcf
ndibawaayo	ndibawaaxo	ndibwqaayi	nwihawaayo
okuyima	okiyima	oikyims	pmyyima
basomosa	basooosa	faqlmosa	naspmlsa
ky'agenda	ko'agenda	ku'sgemda	ky'wgenww
tebaalaba	tybaalaba	tebaxlaga	yevaalxba
n'amabeere	n'amabeere	n'amxneerr	n'zmzbeere
zowaali	dowaali	zoqaspi	xodaali
eyaliko	eyalikb	rualjko	eyamimk
peratiya	perotiya	peestlya	perztiua
ly'ekibi	ly'elibi	lh'elibi	iu'ekini
yajjira	yajuira	yaugira	yajjurq
bw'anazzanga	bw'anazuanga	hw'snazzxnga	vw'anazzwngx
mutwale	mltwale	mihwxle	muhwzle
eyasibibwa	edasibibwa	rtasibjbwa	eyadibibwa
n'obutali	n'ocutali	n'lbufaii	m'obotali
ansuza	ansuzz	zhsuzx	anwuaa
yansanyukira	yansantukira	yansanuukora	yansabhjkira
lweyongera	lweyongerf	mwegpngera	mweyongera
n'agulumiza	n'agulumija	j'zgulumizq	g'ayulumizs
n'abatalina	n'abatalinat	n'qbayapina	b'wbatalina
mwekuume	mwekuumo	mwsnuumf	mwxkuume
ey'emigaati	ey'ezigaati	fy'emkgasti	ey'wnobaati
n'ayita	n'ayitr	n'xyita	n'ayira
ebibe	dbibe	whibe	egkge
eyiyo	eyiyz	ehigo	eyiyl
ng'omuzingo	ng'okuzingo	ng'omuzujgo	ng'onuzinyp
baterafi	batersfi	bwyetafi	bagerafm
olugendo	olugendk	oluyejdi	lluregdo
n'agikolera	n'agikolerak	n'agiioleda	n'afikllera
abamunoonya	abahunoonya	avamunoonya	agamunoonha
gukutte	gukubte	gumutfr	bukuttw
totunuulira	totunuulina	tktihuulira	totumuyoira
njagadde	njagaddeq	mjagqddr	njagqdxe
ganaanywanga	ganxanywanga	banaahtwabga	ganaanfwsngw
kamugwako	kamugwayo	kaiugsako	kahurwakk
eky'a	eky'ar	eky'a	fkg'a
emisota	exisota	djjsota	emisotz
bawakana	bawskana	bqwsiana	yswakana
mirenbe	migenbe	mifenbd	mieejfe
okuvudde	okuvkdde	okibjdde	kjjvudde
n'abagezigezi	n'abmgezigezi	h'xbagezogezi	g'avagezugrzi
w'omuziziko	woomuziziko	q'omuziziki	w'ohhzozioo
olwereere	olwereereh	olwedeede	olwerewre
n'abafumita	n'abafjmita	n'abqfukita	b'sbafukita
olwo	olwz	oowp	llwo
asigala	asigpla	asjgwls	asjgala
sinywere	sinyhere	sihjwere	slnywerc
ng'omuliro	ng'jmuliro	nv'omuliho	jg'omulieo
n'ayambula	p'ayambula	n'ayqnbupa	n'qyqmbulq
b'obugole	b'obqgole	b'obinooe	b'lbugome
nsiima	asiima	nsuumq	ndioms
kiriasualaba	kiriakualaba	kihiasyalwba	kidiqwualaba
n'enninga	n'enninya	g'fbninga	j'ennugga
balabirira	balabcrira	baoabirira	balablrida
bw'ekomba	bw'ekomha	bw'fkikba	fw'ekohga
yeerondera	yeeronderao	yewrondwrz	yeerlnders
guweddeko	guoeddeko	ruwesdekk	ghaedreko
byeyongedde	gyeyongedde	byehomgedde	hueyongefde
eby'abaleevi	ebd'abaleevi	ebj'abxkeevo	rby'abalsebi
ekitole	bkitole	enigple	eligple
buyinike	bubinike	nuyihjke	buyonkke
munaawuliranga	munyawuliranga	munqawunkranga	kunaawioidanga
ttalanta	tthlanta	ttqlanta	tyalwjta
babagoberera	bayagoberera	gabarkbererw	bwbsgobefsra
y'omubi	y'ojubi	y'okibj	y'omhbi
bakyamizza	bakyarizza	bakyahkzza	bakyamiaza
ebizibawo	ebizibako	ebisibawo	ebizpbaqo
ekitono	ekitone	ekkhono	ekitoyk
bera	berx	befq	beca
n'amuleeta	n'amulneta	n'amukeetw	n'xmulefts
ng'omujulirwa	ng'omuyulirwa	ng'onuhklirsa	ng'omyjuoorwa
n'omusirusiru	n'omuyirusiru	n'omusirisjfk	n'omusiruxkru
n'okuvumisa	n'okuvzmisa	n'lkuvimisa	n'okjvunjsa
birijjirirwa	birijjiricwa	boeijjiruraa	virihjifirwa
n'atafa	n'atafao	b'xtaga	g'atafx
aweebwe	aweebwew	zwesbwd	aeeenwe
yamwagala	yamwacala	yamaaeala	uamwagala
okwetoo	okwotoo	okwwfop	okwwtlo
abaliŋŋanga	abaliŋŋanqa	wbzliŋŋanna	abaliŋŋangd
n'asowola	a'asowola	n'asowloa	n'awlwola
eky'ababiezeri	eky'abasiezeri	ekg'avsbkezeri	ekh'abanuszdri
okuzaalibwa	okufaalibwa	okyzawlihwa	okizaaligwa
batereka	baterexa	bategdja	bstrreoa
bitono	bitonp	bktiho	nihono
kimujjira	kimujjbra	oomujkira	kimyjuiea
bannamwandu	bannamwawdu	bwnnamwqndh	banmamdandj
tubaddemu	tugaddemu	yubwddemk	tubadxemk
yawulamu	yawulamu	ywwjlamk	yaqylamk
isimaeri	isimairi	isumaedi	isinseru
banaazirikira	banaaziriwira	fansazirikorx	bajaazueikiea
n'ebisasiro	n'ebisrsiro	n'ebicasuro	b'enisasirl
basala	basgla	fxxala	hasqma
n'okutu	n'okutz	n'jkuty	n'imutu
okuteesa	okuteesa	lmutersa	kuuteesw
etuweereddwa	etuweersddwa	erywereeddwa	etkwfereedea
abatumibwa	abftumibwa	xnatumibwz	avagumigwa
mubalamuse	mubalymuse	mubalamuzz	mubalahjze
munaabonerezanga	munaabonyrezanga	muhwabogerezwnra	nuhaabojerezahga
ekyewalula	ebyewalula	ekyeazlulw	elyewaoula
aŋŋambye	aŋŋsmbye	aŋŋqmbje	aŋŋambtx
okussaayo	okusscayo	ojusqazyo	omussaayo
kibi	kiwi	kobk	iibj
yakusuubiza	yakusuvbiza	takuskubiaa	yakhsuubizq
bazeera	bazeara	baedera	tazeerw
n'obusaale	n'obusdale	n'ohusasle	n'kvusaale
temuliiko	temqliiko	tejullkko	temulliuo
ogw'asatu	igw'asatu	igw'asatu	oyw'awstu
tekyawandiikibwa	tekyawandiizibwa	fekyawagdiiklbqx	gekyawzmdiikivqa
n'ayawula	n'pyawula	n'ayafula	m'ayawnla
olw'okunenya	olw'okunonya	ols'oiknenyx	olw'ikubenva
beegomba	beecomba	vergkmba	heegombw
bubonero	bubonhro	vubojwro	bugonero
baasisinkana	baasisinkand	gaasisigkana	vaasisinkanx
atya	atyay	ayyq	stya
eriba	erdba	wruba	ediba
yeetabuddetabudde	keetabuddetabudde	yeerwbuddffabuwde	uertwbucdetwbudde
ky'olisiima	ky'oliqiima	lh'olisiima	ku'olusiims
lubeerenga	lubrerenga	luneerekga	lubeerengz
n'amalagala	n'amahagala	n'amqiwgala	n'amapagala
kigwa	kigwz	kinww	kktwa
okukuubuuka	okukuubuqka	ouuuuubuula	okuuuughuka
banaajeemeranga	banafjeemeranga	bqnaajeemetagtw	ganasjsemerangw
ayasama	ayasamt	ajaeama	ayaxata
sema	seka	seja	sejw
an	in	an	xn
kukyukira	kukyuksra	kjnyumira	kumyukkra
twabuulira	twabuusira	twxbuulirc	twabhullra
bamussiza	bamursiza	bamussizw	bakudciza
okubawasa	okuuawasa	okunzwwsa	olubaqasw
olabe	olabs	olzne	omqge
ab'eggye	ab'elgye	at'eggye	wb'dggye
nneegayiridde	nnezgayiridde	jneegahirlrde	gheegayirifde
tebammanyi	tebammabyi	tegamkznyi	gebzmnanyi
w'oyo	waoyo	q'oyo	a'oyo
yeekuumanga	yeekuumjnga	yeekuymwngs	jeekujmagna
bunyweza	bunywoza	bjnjwdza	bunueezq
yeewuunya	yeewuunwa	yeesujnya	yrdwuunja
abaatwalibwa	abaatwaliiwa	abaxfsalibsa	awaatwapibwa
mwegendereza	mwegandereza	madgejcereza	mweyendedeza
iw'ekibuga	iw'ekiyuga	iw'eklbugs	id'wkibuga
n'ensozi	v'ensozi	n'etsozi	n'dhsoxi
yatutegeeza	yatutegeeda	yatueegefza	yatuhsgeeza
ez'obuto	ez'kbuto	ea'pbufo	eq'oguto
girigattibwa	iirigattibwa	tigigatykbwa	gkrjgatyjbwa
mwenna	mwennan	msengx	mwrnha
ekikolimo	ekibolimo	ekhkokimo	ejikolimi
n'ekikoomi	n'ekiqoomi	b'ekikooki	n'wkkkiomi
n'onkuuma	f'onkuuma	n'ogkihma	h'onoyuma
n’ekitiibwa	n’ekitimbwa	n’emjtikbwa	n’rkitipbwa
abaakomawo	abalkomawo	abaqkomawo	absakkjawo
bulibeera	aulibeera	bukibeefa	buljbreea
n'ateekawo	j'ateekawo	n'ateekqwo	n'ageenqwo
w'enkya	w'enkyr	w'snnta	w'dnkua
omusujja	omusujea	pmusjjjx	okizujja
n'ekituli	n'ekituzi	n'ejitjli	n'enltuli
ng'agambo	ng'agamco	ng'agamco	mg'agambk
obutuukirivu	obwtuukirivu	obutuukirivu	obutuhlofivu
dosani	dosini	dlsajk	doxxni
byalina	byalinaj	bjzoina	byalinq
tokeŋŋentererwanga	tnkeŋŋentererwanga	tokeŋŋenhrrerwahga	tokeŋŋdntsreraanha
mwantuma	mwantumb	mwaghuna	mwqngumw
okuyoogaana	okuyoograna	kkkyokgaana	ouuyopgaaga
olw'okujjukiza	olw'lkujjukiza	omw'okuyjikizz	olw'omjjjuiixa
gy'emyoyo	gy'fmyoyo	gy'ekyoho	gu'emylyo
onjigirizenga	onjigirizengab	onjknirizwngx	onjlfivizenga
ebimu	ebimuc	fbimi	ehimu
n'ekola	n'ekolu	n'enlma	m'emlla
bulimenyaamenya	bulimenyaameuya	buojmenyaanebta	bhlkmenywamebys
kaagwo	kaagro	kqqgeo	kzavwo
n'okunywegera	n'okunyuegera	n'okunywegefa	n'ikufywegrra
okubatuma	okubanuma	kmubqtuma	ojuvatuma
erimu	erimuw	srinu	eeomu
okufiirira	okufiirire	kmufiirira	ooubilrira
n'olagira	v'olagira	n'omzbira	n'oiaglra
tusomoke	tusomnke	tueoboke	tisomoie
temubanga	teuubanga	bemkbanga	yemyhanga
ng'ekibiina	ng'ekibiinc	ng'emobiiba	ng'ekibipnx
eky'emisango	ekr'emisango	cky'emieajgo	emu'emiaanho
baani	baagi	bwani	nwani
mukyawenga	mukyxwenga	mukyaaebva	hukyawenrq
n'owulira	n'owulirac	n'iehlira	n'owyllra
misuma	kisuma	misjhz	misuma
kaabakuuku	baabakuuku	kazbakuuku	kaabakuuku
n'omuwemba	n'osuwemba	h'omiwemna	n'omjwrmba
balikwatibwa	balikwatibwa	balokwsgibwa	balikssrjbwa
mukiyita	mukirita	mukogiya	mukkyitw
yeeyama	yteyama	yewjxma	ueeyamd
yotubasa	yotubava	ykyubaea	yotubasz
ziritonnya	zititonnya	zititobgya	ziritkgnya
byatuuka	bbatuuka	byxtuuka	byatijka
kw'abaana	kw'avaana	iw'zbqana	nw'abaanq
salezeri	saldzeri	sspezwri	zamezeri
n'esitula	n'esitulax	b'ezitula	n'fzitulw
enziina	enzinna	enxioha	ejxiima
okusanyuka	hkusanyuka	okusxhyuua	oiuqahyuka
kyennava	kfennava	kyegnadw	iuenhava
eby'empewo	ebx'empewo	dby'fmpewo	ebu'skpewo
gamba	gfmba	gsjba	gambw
lyegatta	lyegavta	mydgattw	ljegattw
gaasi	gafsi	gaqci	gzwsj
ebaawo	etaawo	enaqqo	shaswo
bulyekooloobya	bulyekooloodya	bultekpoloobya	nuljekoomoobya
mwe	nwe	mqe	mwe
abaawulira	abaawuliraj	zbaawhlkra	absawulkra
manowa	vanowa	mwniea	janlwa
ng'ettabi	nn'ettabi	ng'ehtabi	ng'eytavi
w'emiryango	w'emiryacgo	w'ehkryamgo	w'ekirysggo
n'okutegeeza	n'ooutegeeza	n'lkutsreeza	n'omytetewza
tekukkuta	tekkkkuta	fwkykkuta	twkukmhta
nnyonoona	nnyonoons	nnylbooja	nnyknooha
b'ekibiina	b'ekibiinat	b'fkibjinx	b'ekibiind
ez'amazzi	ez'amazzi	wx'amaszi	ez'ahzzzi
n'ekibi	n'ekibit	n'qkibi	h'elibi
abafu	abafu	zbafk	xbxbu
kukwatibwa	kukwatibva	oujqatibwa	kunwztubwa
okufuukuuka	vkufuukuuka	okjfuhkuuia	ojueuukuukx
ebiriibwa	ebiriibwr	ebiriifaz	eblfijbwa
bbugwe	bbuuwe	bvygqe	bbhgws
ez'engeri	ez'eugeri	ex'ejgeri	dz'engeei
asiba	asiua	qsiga	aqiba
mui	mci	mki	muj
okunywa	okunywam	lkunyax	ikugywa
olw'effeeza	olw'efaeeza	old'efbedza	olq'efdeesa
n'ekiragiro	n'ekiragtro	b'eklrahiro	n'skpraglro
zibe	zibk	zjne	zlne
kyemunaavanga	kyemznaavanga	kyaminaavangq	kyemunwxvanrs
ziggalwawo	ziggalwawos	zigcalqawo	xiygalwawo
ez'ebika	ez'eeika	ez'enika	tz'ebika
yeyeri	yeyerii	heyerl	yetrti
ojjuze	ojjuzh	kjjuzd	pjjhxe
bawonyezebwanga	bawonyezebwangan	nawlnyrzebwahga	varonydzebwanga
by'ebikolwa	bg'ebikolwa	by'ebokoiwa	by'evjkoiwa
eddobo	eddobo	erdibk	wddobo
n'olunyago	n'olunyagof	n'opumjago	h'klunyago
afuga	rfuga	wfugs	afjga
obwayinga	obwayknga	obaayingx	obwaykjga
beeyongeranga	beeyongerangad	beeyongdrqngw	feeyonyfrahga
nkukola	nkukolar	nkukoiz	hkuoooa
yayambalanga	yayambalsnga	hayqmbalwnva	gayxkbwlanga
anaatuulanga	anattuulanga	amsatuulangd	anaahuujangz
kwabyo	kwabym	nwabtl	kesfyo
olw'okwesanyusa	opw'okwesanyusa	khw'okwesznyusa	llw'oiwesantusa
gwakubiriza	gwakubirizaa	gwakkbidixa	gqakubigizw
obugabo	obugaboz	obugqvo	lbugzho
gibyoni	giqyoni	giuyogi	ninyoni
yaggya	yagsya	yagghz	ywgrya
n'awandiika	n'iwandiika	n'xaanviika	n'awqnduikq
njogerera	njmgerera	njogerwew	mjogwrerz
olubetentefu	olubetentefk	plugdtentffu	klubetenrdfu
baggweerawo	baggweerawoa	bafgweeraep	baggweehwwo
ky'ayagala	yy'ayagala	uy'xyavala	my'ayagaoa
amayembe	amayetbe	qkayfmbe	wmztembe
ng'olusuku	ng'olusoku	ng'olusuky	hg'olusuku
lirisanyuka	ldrisanyuka	mifjsanyuka	oirisanjuka
n'abafalisaayo	n'abafdlisaayo	b'abafxlizaayo	n'egafamiwaayo
ndimulaga	ndidulaga	jdihulaya	ndimhlwga
makwanzi	mokwanzi	maiqagzi	najeanzi
n'okusinda	n'okusindad	n'okisinda	m'okusinda
beetisse	ieetisse	beeyksae	bestixde
olukulu	klukulu	opykulu	ooukuli
twala	pwala	twsma	tsaps
olweggulo	olwegwulo	jlweggumo	olwehgnlo
zaafuuka	zaafguka	zxafkuja	zaaviika
kubonyaabonya	kuboyyaabonya	oubonywagonja	kubomjazbohya
naakukisa	naakukiya	naakukjww	maakjkiss
obutabaawo	obutabcawo	pbutagaawk	lbytabazwo
abazaalirwa	abazaaliewa	xbazaqlurwa	abxxaakirwa
abaka	abakl	sbakq	wbaka
tuyita	tuyitad	fuhira	ruyktw
abasekerezi	abawekerezi	abazfoerezi	qbzseoerezo
n'obukumi	n'obkkumi	g'obunumi	n'pbumumi
twayonoona	twayhnoona	twzyonioma	twayonokja
kirimuggibwako	kirimuggnbwako	nirimuggibwani	klronugvibwano
ogw'omudaliza	ogd'omudaliza	ogw'omudapowa	ord'omudsliza
mpise	bpise	moisd	mklsr
kusonyiyibwa	kdsonyiyibwa	kusknyitivww	kjsonyiyjgwa
ey'olubeerera	eygolubeerera	sj'llkbeerera	ey'klunefrera
atamanyi	btamanyi	ayamxnti	ztananyk
gumuwonako	gumuwxnako	guhuwonxkk	gunuwonzkl
eyafuga	ebafuga	staeuga	wuafuna
abasenyi	avasenyi	agaqengi	abasrjyi
n'abaedomu	n'abaedomub	n'abascomu	n'wbwedomu
n'abazaana	n'abazaanar	n'abzzzanz	n'ahqzaana
okusiibula	okusiibkla	okuejihula	okusimbuia
eyamuzuukiza	eyamuzuukizf	eyamuzyukisc	syamuzuyhiza
n'abibikkako	n'abibikeako	j'abibikoamo	n'abkbikkako
tulaluse	tuladuse	tulskise	nulaluse
kufuluma	nufuluma	mkculuma	jufyluma
okugobereranga	skugobereranga	okugobetdranbz	okublbweeranga
okudduukirira	okuwduukirira	okuddjimirira	okudduiiirifa
olunene	olunkne	okkgene	olumegr
bw'omalanga	bw'omalgnga	bw'onaoanta	be'kmamznga
ebyaka	ebyuka	fbyxka	sbyska
munaamalanga	munaamnlanga	kunawmaianga	munwamalqjga
efleeza	efleaza	dfiesza	etlreza
baaziggyangamu	baaziggyangamuo	baaziggyajrxmh	baazigryaggamu
abagaliraaya	abagaliruaya	ebagaoirasya	xvagaliraaya
obw'amazima	obw'arazima	obw'amszjma	lnw'ajazika
towaayirizanga	towaanirizanga	gowazyirizwjga	towaayorizangz
tirugasupiruneseri	tirugajupiruneseri	tirkgasipirunwsrrn	firugaaipieunwswri
n'ayogera	n'aykgera	g'ayorrra	g'ayoterx
tutunde	tutulde	fuhundf	yktubde
mwogeredde	mwogdredde	mwkydredde	hqogerfdde
kufiira	kufwira	kifiiex	kufkifa
enkumi	enkumip	wnkuku	evnumi
eky'akatimba	ecy'akatimba	eky'zkxtimhz	eky'akdtjmba
mumbuulire	mumbuulirr	mumbmjlire	mukbuuljre
alaba	alabm	alahq	slana
abaasowolanga	aboasowolanga	xbwasowilanfa	anaxsowolamga
ebyatuukirira	ebyatuuknrira	enyqttukirira	whtatuukirirx
amulaamu	amclaamu	smylqamu	amuksahu
yasipero	yashpero	yaxuprro	jzsipfro
ndabira	mdabira	ndxniga	ndqgirz
anaabalaga	anaabalagaw	anasbwlzga	ahaanalava
tebalina	twbalina	twbaligw	tebaliha
n'enviiri	nrenviiri	n'endiifi	h'enviigi
ampulira	ampflira	amojlita	smpulita
onkolere	onbolere	ohkoldte	ohkolsee
ogw'engeri	ogw'engerd	igw'ejgedi	one'engeri
nnababuulira	hnababuulira	nmababuhlira	nnababujlors
tofesi	toferi	rofesl	horwsi
okusinda	okusinda	okusjncs	ikuwinda
amanyirivu	amaryirivu	amagykrigu	amamyjrivu
mugga	eugga	nuggq	murga
